Country,Code,Year,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Total 
Kyrgyzstan,KGZ,2021,0,13,0,0,13.00
Laos,LAO,2021,0,28.51,0.04,0.61,29.16
Latvia,LVA,2021,0.14,2.71,0.01,0.86,3.72
Lebanon,LBN,2021,0.01,0.97,0.12,0.06,1.16
Lesotho,LSO,2021,0,0.5,0,0,0.50
Liberia,LBR,2021,0,0.53,0,0,0.53
Libya,LBY,2021,0,0,0.01,0,0.01
Lithuania,LTU,2021,1.36,0.38,0.19,0.69,2.62
Luxembourg,LUX,2021,0.31,0.11,0.18,0.39,0.99
Macao,MAC,2021,0,0,0,0,0.00
Madagascar,MDG,2021,0,0.7,0.02,0,0.72
Malawi,MWI,2021,0,1,0.17,0.02,1.19
Malaysia,MYS,2021,0,30.79,1.5,1.6377085,33.93
Maldives,MDV,2021,0,0,0.05,0,0.05
Mali,MLI,2021,0,1,0.03,0.19,1.22
Malta,MLT,2021,0,0,0.21,0.01,0.22
Martinique,MTQ,2021,,,0,,0.00
Mauritania,MRT,2021,0.15,0.21,0.14,0,0.50
Mauritius,MUS,2021,0.02,0.1,0.16,0.33,0.61
Mexico,MEX,2021,20.97,34.47,14.16,11.05,80.65
Montenegro,MNE,2021,0.33,1.98,0,0,2.31
Montserrat,MSR,2021,0,0,0,0,0.00
Morocco,MAR,2021,5.11,1.21,1.82,0.04,8.18
Mozambique,MOZ,2021,0,16,0.07,0.14,16.21
Myanmar,MMR,2021,0,9,0.1,0.27,9.37
Namibia,NAM,2021,0.02,1.1,0.38,0,1.50
Nauru,NRU,2021,0,0,0,0,0.00
Nepal,NPL,2021,0.01,6,0.11,0,6.12
Netherlands,NLD,2021,18,0.09,11.5,10.88,40.47
New Caledonia,NCL,2021,0.06,0.22,0.18,0,0.46
New Zealand,NZL,2021,2.62,23.98,0.2,8.25,35.05
Nicaragua,NIC,2021,0.63,0.57,0.03,1.3,2.53
Niger,NER,2021,0,0,0.05,0,0.05
Nigeria,NGA,2021,0,8,0.05,0.02,8.07
Niue,NIU,2021,0,0,0,0,0.00
North Korea,PRK,2021,0,12,0.02,0,12.02
North Macedonia,MKD,2021,0.06,1.03,0.02,0.06,1.17
Norway,NOR,2021,11.32,138.66,0.03,0.45999998,150.47
Oman,OMN,2021,0,0,0.16,0,0.16
Pakistan,PAK,2021,2.88,39,1.26,1.52,44.66
Palestine,PSE,2021,0,0,0.2,0,0.20
Panama,PAN,2021,0.66,7.2,0.42,0.05,8.33
Papua New Guinea,PNG,2021,0,0.8,0,0.49,1.29
Paraguay,PRY,2021,0,39.89,0,0.06,39.95
Peru,PER,2021,1.81,31.89,0.82,0.72,35.24
Philippines,PHL,2021,1.17,8,1.5,13.27,23.94
Poland,POL,2021,16.23,2.34,3.93,8.06,30.56
Portugal,PRT,2021,13.22,11.91,2.24,4.18,31.55
Puerto Rico,PRI,2021,0.16,0.05,0.27,0.03,0.51
Qatar,QAT,2021,0,0,0.01,0.03,0.04
Romania,ROU,2021,6.58,17.41,1.7,0.65,26.34
Russia,RUS,2021,3.89,214.5,2.3,0.93,221.62
Rwanda,RWA,2021,0,0.45,0.06,0,0.51
Saint Helena,SHN,2021,0,0,0,,0.00
Saint Kitts and Nevis,KNA,2021,0.01,0,0,0,0.01
Saint Lucia,LCA,2021,0,0,0,0,0.00
Saint Pierre and Miquelon,SPM,2021,0,0,0,0,0.00
Saint Vincent and the Grenadines,VCT,2021,0,0.04,0,0,0.04
Samoa,WSM,2021,0,0.04,0.02,0,0.06
Sao Tome and Principe,STP,2021,0,0.01,0,0,0.01
Saudi Arabia,SAU,2021,0,,0.83,0,0.83
Senegal,SEN,2021,0.25,0.31,0.47,0.1,1.13
Serbia,SRB,2021,0.98,11.1,0.01,0.31,12.40
Seychelles,SYC,2021,0.01,0,0.07,0,0.08
Sierra Leone,SLE,2021,0,0.18,0.01,0,0.19
Singapore,SGP,2021,0,0,0.67,0.44,1.11
Slovakia,SVK,2021,0,4.55,0.67,1.84,7.06
Slovenia,SVN,2021,0.01,4.71,0.45,0.27,5.44
Solomon Islands,SLB,2021,0,0,0,0,0.00
Somalia,SOM,2021,0.01,0,0.03,0,0.04
South Africa,ZAF,2021,8.36,1.47,6.65,0.4,16.88
South Korea,KOR,2021,3.18,3.05,23.95,15.57,45.75
South Sudan,SSD,2021,0,0,0.01,0,0.01
Spain,ESP,2021,62.06,29.63,27.1,6.96,125.75
Sri Lanka,LKA,2021,0.37,5,0.54,0.26,6.17
Sudan,SDN,2021,0,10,0.03,0.94,10.97
Suriname,SUR,2021,0,1,0.02,0,1.02
Sweden,SWE,2021,27.24,73.89,1.53,13.08,115.74
Switzerland,CHE,2021,0.15,36.96,2.89,0.11,40.11
Syria,SYR,2021,0,0.75,0,0.01,0.76
Taiwan,TWN,2021,2.21,3.47,7.97,2,15.65
Tajikistan,TJK,2021,0,18,0,0,18.00
Tanzania,TZA,2021,0,3,0.06,0.59,3.65
Thailand,THA,2021,4.3,4.68,4.29,13.84,27.11
Timor,TLS,2021,0,0,0,0,0.00
Togo,TGO,2021,0,0.15,0.02,0,0.17
Tonga,TON,2021,0,0,0.01,0,0.01
Trinidad and Tobago,TTO,2021,0,0,0.01,0,0.01
Tunisia,TUN,2021,0.53,0.06,0.41,0,1.00
Turkey,TUR,2021,31.21,55.74,12.97,17.12,117.04
Turkmenistan,TKM,2021,0,0,0,0,0.00
Turks and Caicos Islands,TCA,2021,0,0,0,0,0.00
Uganda,UGA,2021,0,4,0.15,0.12,4.27
Ukraine,UKR,2021,4.46,10.67,5.97,0.76,21.86
United Arab Emirates,ARE,2021,0,0,6.69,0.01,6.70
United Kingdom,GBR,2021,65.02,5.59,12.47,39.12,122.20
United States of America,USA,2021,378.2,246.47,164.42,72.49,861.58
United States Virgin Islands,VIR,2021,0,0,0.02,0,0.02
Uruguay,URY,2021,4.99,5.27,0.48,1.61,12.35
Uzbekistan,UZB,2021,0,5,0.01,0,5.01
Vanuatu,VUT,2021,0,0,0.01,0.01,0.02
Venezuela,VEN,2021,0.09,61,0.01,0,61.10
Vietnam,VNM,2021,2.39,75.9,25.77,0.1580361,104.22
Western Sahara,ESH,2021,0,0,0,0,0.00
World,OWID_WRL,2021,1848.26,4234.35,1040.5,761.93005,7885.04
Yemen,YEM,2021,0,0,0.6,0,0.60
Zambia,ZMB,2021,0,16.07,0.15,0.11,16.33
Zimbabwe,ZWE,2021,0,4,0.04,0.38,4.42
